2024-09-10 11:05:52 | SUCCESS  | __main__:load_data:212 - 数据加载成功！
2024-09-10 11:07:28 | SUCCESS  | __main__:load_data:212 - 数据加载成功！
2024-09-10 11:12:02 | SUCCESS  | __main__:load_data:209 - 数据加载成功！
2024-09-10 11:12:02 | ERROR    | __main__:create_reports:51 - 创建检测报告时发生错误！错误信息：[Errno 22] Invalid argument: 'E:\\检测报告生成\\砼试块抗压强度\\**请勿填写**.docx'
2024-09-10 11:12:02 | ERROR    | __main__:update_report:124 - 文件数量与列表长度不匹配！
2024-09-10 11:14:25 | SUCCESS  | __main__:load_data:209 - 数据加载成功！
2024-09-10 11:14:25 | ERROR    | __main__:create_reports:51 - 创建检测报告时发生错误！错误信息：[Errno 22] Invalid argument: 'E:\\检测报告生成\\砼试块抗压强度\\**请勿填写**.docx'
2024-09-10 11:14:25 | ERROR    | __main__:update_report:124 - 文件数量与列表长度不匹配！
2024-09-10 11:15:12 | SUCCESS  | __main__:load_data:209 - 数据加载成功！
2024-09-10 11:15:12 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\2013.docx已成功创建！
2024-09-10 11:15:13 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\2013.docx 中的所有数据已成功修改!
2024-09-10 11:16:54 | SUCCESS  | __main__:load_data:211 - 数据加载成功！
2024-09-10 11:16:54 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\2013.docx已成功创建！
2024-09-10 11:16:56 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\2013.docx 中的所有数据已成功修改!
2024-09-10 11:17:24 | SUCCESS  | __main__:load_data:213 - 数据加载成功！
2024-09-10 11:17:24 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\2013.docx已成功创建！
2024-09-10 11:17:25 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\2013.docx 中的所有数据已成功修改!
2024-09-10 11:17:37 | SUCCESS  | __main__:load_data:213 - 数据加载成功！
2024-09-10 11:17:37 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\2013.docx已成功创建！
2024-09-10 11:17:39 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\2013.docx 中的所有数据已成功修改!
2024-09-10 11:24:15 | SUCCESS  | __main__:load_data:213 - 数据加载成功！
2024-09-10 11:26:50 | SUCCESS  | __main__:load_data:213 - 数据加载成功！
2024-09-10 11:26:50 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\2013.docx已成功创建！
2024-09-10 11:26:50 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100211.docx已成功创建！
2024-09-10 11:26:50 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100212.docx已成功创建！
2024-09-10 11:26:51 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\2013.docx 中的所有数据已成功修改!
2024-09-10 11:26:52 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\241100211.docx 中的所有数据已成功修改!
2024-09-10 11:26:53 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\241100212.docx 中的所有数据已成功修改!
2024-09-10 11:27:44 | SUCCESS  | __main__:load_data:213 - 数据加载成功！
2024-09-10 11:27:44 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\2013.docx已成功创建！
2024-09-10 11:27:44 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100211.docx已成功创建！
2024-09-10 11:27:44 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100212.docx已成功创建！
2024-09-10 11:27:45 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\2013.docx 中的所有数据已成功修改!
2024-09-10 11:27:46 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\241100211.docx 中的所有数据已成功修改!
2024-09-10 11:27:47 | SUCCESS  | __main__:update_report:156 - 文件 E:\检测报告生成\砼试块抗压强度\241100212.docx 中的所有数据已成功修改!
2024-09-10 11:46:04 | SUCCESS  | __main__:load_data:213 - 数据加载成功！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100211.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100212.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100218.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100222.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100236.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100237.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100257.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100258.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100259.docx已成功创建！
2024-09-10 11:46:04 | SUCCESS  | __main__:create_reports:49 - 检测报告E:\检测报告生成\砼试块抗压强度\241100260.docx已成功创建！
