2024-09-12 18:27:07 | SUCCESS  | __main__:load_data:59 - 数据加载成功！
2024-09-12 18:28:47 | SUCCESS  | __main__:load_data:59 - 数据加载成功！
2024-09-12 18:33:17 | SUCCESS  | __main__:load_data:59 - 数据加载成功！
2024-09-12 18:33:29 | SUCCESS  | __main__:load_data:59 - 数据加载成功！
2024-09-12 18:49:23 | SUCCESS  | __main__:load_data:59 - 数据加载成功！
2024-09-12 18:49:23 | INFO     | utils:create_reports:39 - 输出目录E:\检测报告生成\理想华府地下车库人防地下室_抗渗性能_202409121849_待打印不存在，已创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200098_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200099_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200100_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200104_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200107_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200108_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200111_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:23 | INFO     | utils:create_reports:50 - 检测报告 >>>241200112_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:42 | SUCCESS  | __main__:load_data:59 - 数据加载成功！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200098_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200099_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200100_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200104_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200107_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200108_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200111_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:42 | INFO     | utils:create_reports:50 - 检测报告 >>>241200112_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 18:49:43 | ERROR    | __main__:update_report:150 - 修改报告内容时发生错误！错误信息：replace() argument 2 must be str, not float
2024-09-12 18:49:44 | ERROR    | __main__:update_report:150 - 修改报告内容时发生错误！错误信息：replace() argument 2 must be str, not float
2024-09-12 18:49:45 | ERROR    | __main__:update_report:150 - 修改报告内容时发生错误！错误信息：replace() argument 2 must be str, not float
