2024-09-10 18:02:15 | SUCCESS  | __main__:load_data:58 - 数据加载成功！
2024-09-10 18:14:15 | SUCCESS  | __main__:load_data:58 - 数据加载成功！
2024-09-10 18:18:57 | SUCCESS  | __main__:load_data:58 - 数据加载成功！
2024-09-10 18:40:33 | SUCCESS  | __main__:load_data:58 - 数据加载成功！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800689.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800690.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800691.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800692.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800693.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800694.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800695.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800696.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800697.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800698.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800699.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800700.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800701.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800702.docx已成功创建！
2024-09-10 18:40:33 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800703.docx已成功创建！
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:33 | ERROR    | __main__:update_report:160 - 修改报告内容时发生错误！错误信息：name 'assignment_ids' is not defined
2024-09-10 18:40:51 | SUCCESS  | __main__:load_data:58 - 数据加载成功！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800689.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800690.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800691.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800692.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800693.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800694.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800695.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800696.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800697.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800698.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800699.docx已成功创建！
2024-09-10 18:40:51 | SUCCESS  | 砼试块抗压强度:create_reports:49 - 检测报告E:\检测报告生成\钢筋焊接\240800700.docx已成功创建！
