2024-09-12 20:40:27 | SUCCESS  | __main__:load_data:36 - 数据加载成功！
2024-09-12 20:40:27 | INFO     | utils:create_reports:39 - 输出目录E:\检测报告生成\理想华府地下车库人防地下室_抗渗性能_202409122040_待打印不存在，已创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200098_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200099_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200100_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200104_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200107_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200108_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200111_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:27 | INFO     | utils:create_reports:50 - 检测报告 >>>241200112_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:44 | SUCCESS  | __main__:load_data:37 - 数据加载成功！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200098_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200099_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200100_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200104_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200107_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200108_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200111_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:44 | INFO     | utils:create_reports:50 - 检测报告 >>>241200112_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:40:45 | INFO     | __main__:update_report:82 - 检测报告 >>>241200098_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:46 | INFO     | __main__:update_report:82 - 检测报告 >>>241200099_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:47 | INFO     | __main__:update_report:82 - 检测报告 >>>241200100_理想华府9#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:48 | INFO     | __main__:update_report:82 - 检测报告 >>>241200104_理想华府9#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:49 | INFO     | __main__:update_report:82 - 检测报告 >>>241200107_理想华府7#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:50 | INFO     | __main__:update_report:82 - 检测报告 >>>241200108_理想华府7#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:51 | INFO     | __main__:update_report:82 - 检测报告 >>>241200111_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:52 | INFO     | __main__:update_report:82 - 检测报告 >>>241200112_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:40:52 | SUCCESS  | __main__:update_report:86 - 所有报告已完成！输出目录 >>> E:\检测报告生成\理想华府地下车库人防地下室_抗渗性能_202409122040_待打印
2024-09-12 20:43:50 | SUCCESS  | __main__:load_data:37 - 数据加载成功！
2024-09-12 20:43:50 | INFO     | utils:create_reports:39 - 输出目录E:\检测报告生成\理想华府地下车库人防地下室_抗渗性能_202409122043_待打印不存在，已创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200098_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200099_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200100_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200104_理想华府9#楼.docx<<< 已成功创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200107_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200108_理想华府7#楼.docx<<< 已成功创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200111_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:43:50 | INFO     | utils:create_reports:50 - 检测报告 >>>241200112_理想华府地下车库人防地下室.docx<<< 已成功创建！
2024-09-12 20:43:51 | INFO     | __main__:update_report:79 - 检测报告 >>>241200098_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:52 | INFO     | __main__:update_report:79 - 检测报告 >>>241200099_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:53 | INFO     | __main__:update_report:79 - 检测报告 >>>241200100_理想华府9#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:54 | INFO     | __main__:update_report:79 - 检测报告 >>>241200104_理想华府9#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:55 | INFO     | __main__:update_report:79 - 检测报告 >>>241200107_理想华府7#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:56 | INFO     | __main__:update_report:79 - 检测报告 >>>241200108_理想华府7#楼.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:57 | INFO     | __main__:update_report:79 - 检测报告 >>>241200111_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:58 | INFO     | __main__:update_report:79 - 检测报告 >>>241200112_理想华府地下车库人防地下室.docx<<< 中的所有数据已成功修改!
2024-09-12 20:43:58 | SUCCESS  | __main__:update_report:83 - 所有报告已完成！输出目录 >>> E:\检测报告生成\理想华府地下车库人防地下室_抗渗性能_202409122043_待打印
